t,ue_x,ue_y,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
106,552.0,380.0,6.5569464981633985,67,7.0,67,7.0,0.4430535018366015,350.2913073429028,True,True,-4.001001493339885,-0.02355556865876105,11.977445924681124,22.0,-1.3800400597335956
107,556.0,380.0,7.206057001383272,67,7.0,67,7.0,0.20605700138327165,350.77058029430003,True,True,-3.995604685569198,-0.005095138538287875,11.99050954703091,22.0,-1.359824187422768
108,560.0,380.0,7.853313301978233,68,8.0,68,8.0,0.14668669802176737,351.29474803930674,True,True,-4.007358492688109,-0.0025820384851835,12.004776454202926,22.0,-1.3802943397075245
109,564.0,380.0,8.498558879493686,68,8.0,68,8.0,0.49855887949368594,351.86360993998795,True,True,-4.050063103211301,-0.029827314758639957,12.02023578845266,22.0,-1.3620025241284521
110,568.0,380.0,9.141640223524888,69,9.0,69,9.0,0.14164022352488814,352.4769496009633,True,True,-4.039283304275944,-0.002407434350421633,12.036875869925524,22.0,-1.381571332171038
111,572.0,380.0,9.782407031807281,70,10.0,70,10.0,0.21759296819271867,353.1345352694919,True,True,-4.060365829215389,-0.005681603976830097,12.05468422523856,22.0,-1.3824146331686156
112,576.0,380.0,10.4207123967945,70,10.0,70,10.0,0.42071239679449945,353.83612025908263,True,True,-4.094887488116509,-0.02123987049798868,12.07364761761852,22.0,-1.3637954995246604
113,580.0,380.0,11.056412980248183,71,11.0,71,11.0,0.056412980248182976,354.58144339488496,True,True,-4.094133969369693,-0.00038189092085782594,12.093752078448835,22.0,-1.3837653587747878
114,584.0,380.0,11.689369175439197,72,12.0,72,12.0,0.3106308245608034,355.37022947906036,True,True,-4.126561921174272,-0.011578981100078954,12.114982940074192,22.0,-1.3850624768469708
115,588.0,380.0,12.319445256636612,72,12.0,72,12.0,0.3194452566366124,356.20218977429096,True,True,-4.149570302347328,-0.012245432638515739,12.137324869708815,22.0,-1.3659828120938933
116,592.0,380.0,12.946509515636933,73,13.0,73,13.0,0.053490484363067026,357.07702250354896,False,False,17.83889474787697,-0.0003433478300874622,12.160761904292942,0.0,0.49355578991507887
117,596.0,380.0,13.57043438516149,74,14.0,74,14.0,0.4295656148385092,357.99441336423115,False,False,17.79257931976402,-0.022143194094190376,12.18527748614179,0.0,0.4917031727905605
118,600.0,380.0,14.191096549023968,74,14.0,74,14.0,0.19109654902396755,358.9540360547573,False,False,17.784763353842266,-0.004382146925864356,12.210854499231871,0.0,0.5113905341536906
119,604.0,380.0,14.808377039042398,75,15.0,75,15.0,0.19162296095760212,359.95555281173256,False,False,17.75811837092855,-0.004406323099939045,12.237475305971511,0.0,0.490324734837142
120,608.0,380.0,15.42216131873866,75,15.0,75,15.0,0.4221613187386595,360.99861495579177,False,False,17.713491794210316,-0.021386421484699686,12.265121784304984,0.0,0.5085396717684125
121,612.0,380.0,16.03233935393598,76,16.0,76,16.0,0.03233935393598131,362.0828634442674,False,False,17.706099134938906,-0.00012550005755960038,12.293775365003532,0.0,0.4882439653975563
122,616.0,380.0,16.63880567042628,77,17.0,77,17.0,0.36119432957372055,363.2079294288603,False,False,17.66092756975297,-0.01565536124594514,12.323417069001085,0.0,0.48643710279011887
123,620.0,380.0,17.24145939893998,77,17.0,77,17.0,0.24145939893998047,364.37343481653545,False,False,17.638976138401958,-0.006996316960374798,12.354027544637669,0.0,0.5055590455360783
124,624.0,380.0,17.840204307703516,78,18.0,78,18.0,0.15979569229648405,365.57899283191864,False,False,17.611348735727212,-0.003064159593181513,12.38558710467961,0.0,0.4844539494290885
125,628.0,380.0,18.434948822922024,78,18.0,78,18.0,0.4349488229220242,366.824208579532,False,False,17.559222579580442,-0.022701657427350523,12.418075762992206,0.0,0.5023689031832177
126,632.0,380.0,19.02560603756868,79,19.0,79,19.0,0.02560603756867863,368.10867960427123,False,False,17.548448048953233,-7.868029919622976e-05,12.451473270747572,0.0,0.48193792195812923
127,636.0,380.0,19.61209370890407,80,20.0,80,20.0,0.38790629109593056,369.43199644860215,False,False,17.496184293061457,-0.0180565548806161,12.485759152057927,0.0,0.4798473717224585
128,640.0,380.0,20.194334245183967,80,20.0,80,20.0,0.1943342451839669,370.7937432050331,False,False,17.474555365205433,-0.00453189586214666,12.52091273893242,0.0,0.49898221460821723
129,644.0,380.0,20.772254682045826,81,21.0,81,21.0,0.22774531795417374,372.19349806249977,False,False,17.436862642954306,-0.006224151582005723,12.556913205463687,0.0,0.4774745057181724
130,648.0,380.0,21.345786649089774,81,21.0,81,21.0,0.3457866490897743,373.6308338453881,False,False,17.391912190038788,-0.014348208802648164,12.593739601158564,0.0,0.4956764876015516
131,652.0,380.0,21.91486632719173,82,22.0,82,22.0,0.08513367280826856,375.10531854400574,False,False,17.367759387594766,-0.000869729069499039,12.631370883335734,0.0,0.4747103755037907
132,656.0,380.0,22.47943439710312,82,22.0,82,22.0,0.47943439710311964,376.61651583540515,False,False,17.30263117054345,-0.02758288093507582,12.669785948521476,0.0,0.49210524682173795
133,660.0,380.0,23.039435979903544,83,23.0,83,23.0,0.039435979903544194,378.16398559355173,False,False,17.290849713635772,-0.000186623581314329,12.708963662782915,0.0,0.4716339885454308
134,664.0,380.0,23.594820569881477,84,24.0,84,24.0,0.40517943011852253,379.7472843879203,False,False,17.231416664582625,-0.019700444470940486,12.748882890946433,0.0,0.4692566665833049
135,668.0,380.0,24.145541960421667,84,24.0,84,24.0,0.14554196042166723,381.3659659696969,False,False,17.207935579873975,-0.0025418954692058584,12.789522524656817,0.0,0.48831742319495897
136,672.0,380.0,24.691558163478078,85,25.0,85,25.0,0.30844183652192214,383.0195817448502,False,False,17.157722126777355,-0.011416363982041938,12.830861509240602,0.0,0.46630888507109436
137,676.0,380.0,25.23283132320836,85,25.0,85,25.0,0.23283132320835875,384.7076812334269,False,False,17.12061587964743,-0.006505251008034627,12.872878869344532,0.0,0.48482463518589736
138,680.0,380.0,25.7693276243387,86,26.0,86,26.0,0.2306723756612996,386.42981251451084,False,False,17.078061097285616,-0.006385169387187327,12.915553733327197,0.0,0.46312244389142454
139,684.0,380.0,26.301017195818872,86,26.0,86,26.0,0.3010171958188721,388.1855226563711,False,False,17.03026128134965,-0.010873362261438865,12.958865356388914,0.0,0.4812104512539861
140,688.0,380.0,26.827874010314503,87,27.0,87,27.0,0.17212598968549742,389.9743581314033,False,False,16.993651574809725,-0.003555282759025436,13.002793142431253,0.0,0.45974606299238907
141,692.0,380.0,27.34987578006988,87,27.0,87,27.0,0.34987578006987974,391.7958652155482,False,False,16.93799376797862,-0.014689567377540819,13.047316664643835,0.0,0.4775197507191451
142,696.0,380.0,27.867003849656868,88,28.0,88,28.0,0.13299615034313206,393.6495903719449,False,False,16.90546175805767,-0.0021225571207311583,13.0924156848216,0.0,0.45621847032230667
143,700.0,380.0,28.379243086107948,88,28.0,88,28.0,0.3792430861079481,395.53508061864756,False,False,16.844670790375563,-0.01725903820328166,13.138070171421157,0.0,0.47378683161502244
144,704.0,380.0,28.886581766910695,89,29.0,89,29.0,0.11341823308930543,397.45188388030067,False,False,16.81419604015878,-0.001543643471652002,13.184260316369569,0.0,0.452567841606351
145,708.0,380.0,29.38901146632034,89,29.0,89,29.0,0.38901146632034056,399.3995493237317,False,False,16.750873858845168,-0.018159590511444175,13.230966550643386,0.0,0.4700349543538067
146,712.0,380.0,29.886526940424034,90,30.0,90,30.0,0.11347305957596632,401.3776276774778,False,False,16.72028530513025,-0.0015451362299436964,13.278169558639807,0.0,0.4488114122052098
