t,ue_x,ue_y,ue_vx,ue_vy,ue_speed,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
36,254.92448207190054,314.1929510355447,4.014656933995146,-1.0536336939040774,4.150616129998684,-42.33326967027162,18,-42.0,18,-42.0,0.33326967027161913,381.73378620728596,False,False,17.187938562303064,-0.013328240774754446,12.798733196922182,0.0,0.4675175424921223
37,258.9337202208337,313.32977467582845,4.00923814893316,-0.8631763597162209,4.101105212358485,-41.97252333260411,18,-42.0,18,-42.0,0.027476667395887944,378.40320305253715,False,False,17.28490371816858,-9.059607014211019e-05,12.71500568576128,0.0,0.4913961487267431
38,262.88348930342346,312.00206591582673,3.9497690825897593,-1.3277087600017292,4.166951686445054,-41.659338192907626,18,-42.0,18,-42.0,0.34066180709237415,374.7801926713424,False,False,17.362988081070586,-0.01392605601737303,12.623085862912042,0.0,0.4945195232428232
39,266.59113831390476,310.2433810946663,3.7076490104812847,-1.758684821160468,4.103612248385936,-41.412085126299985,19,-41.0,19,-41.0,0.41208512629998495,371.0052405520126,False,False,17.45326132969515,-0.020377698158120943,12.52636097214673,0.0,0.4781304531878061
40,270.34770045620724,308.6510308756699,3.75656214230248,-1.5923502189963785,4.080114992119464,-41.136933798105304,19,-41.0,19,-41.0,0.1369337981053036,367.3304054381747,False,False,17.566498576639425,-0.002250103807625286,12.43125131955295,0.0,0.5026599430655769
41,274.1761081905829,307.3427413611506,3.8284077343756873,-1.3082895145193045,4.045778940380794,-40.81840765135257,19,-41.0,19,-41.0,0.18159234864742757,363.8321436262206,False,False,17.656219471572395,-0.003957093730474667,12.33982343469713,0.0,0.506248778862896
42,278.1997404546703,307.0377216244907,4.023632264087394,-0.30501973665993587,4.035177026644202,-40.36673715134768,20,-40.0,20,-40.0,0.36673715134767804,360.98242295138743,False,False,17.71916723928762,-0.016139536581433165,12.264693224130944,0.0,0.4887666895715048
43,282.2497259461225,307.6678471384281,4.049985491452224,0.6301255139374107,4.098712071405894,-39.80889115329265,20,-40.0,20,-40.0,0.19110884670735118,358.85644814294136,False,False,17.787360694529198,-0.004382710954777663,12.208256594516023,0.0,0.5114944277811679
44,286.19865453882386,308.8133845304472,3.9489285927013666,1.1455373920190868,4.111726273327091,-39.20470548942109,21,-39.0,21,-39.0,0.20470548942108735,357.2280748587359,False,False,17.83016865062759,-0.005028520487895229,12.164802828884515,0.0,0.4932067460251037
45,290.35856932049126,309.13242919555483,4.159914781667385,0.31904466510765184,4.172131408413265,-38.65167459782356,21,-39.0,21,-39.0,0.34832540217644237,354.86237769801505,False,False,17.88412125060383,-0.01455967029616564,12.101319079100005,0.0,0.515364850024153
46,294.42198321779466,309.3275758548674,4.0634138973034,0.1951466593125738,4.068097186577438,-38.11604283797081,22,-38.0,22,-38.0,0.11604283797080939,352.49223781016065,False,False,17.96109381369315,-0.0016159128293183427,12.037290273477533,0.0,0.4984437525477261
47,298.5185072480684,309.2742774809342,4.096524030273732,-0.05329837393319969,4.096870738414145,-37.59371535403929,22,-38.0,22,-38.0,0.4062846459607101,349.9362409070646,False,False,18.012435645477634,-0.019808065625210352,11.967756288897158,0.0,0.5204974258191055
48,302.5626412719308,309.420182264094,4.044134023862404,0.14590478315984975,4.0467651536394404,-37.050847231463734,23,-37.0,23,-37.0,0.05084723146373449,347.6002945315684,False,False,18.095926760216873,-0.0003102529137031909,11.903762986869424,0.0,0.5038370704086748
